Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,100.59,108.04,95.18,108.00,61078100,107.53
2014-09-02,103.06,103.74,96.14,100.75,75388300,100.32
2014-08-01,94.90,102.90,93.28,102.50,46746200,102.06
2014-07-01,93.52,99.44,92.57,95.60,49637900,94.72
2014-06-02,633.96,651.26,89.65,92.93,59839500,92.07
2014-05-01,592.00,644.17,580.33,633.00,74996300,89.59
2014-04-01,537.76,599.43,511.33,590.09,82044000,83.06
2014-03-03,523.42,549.00,522.81,536.74,61552000,75.55
2014-02-03,502.61,551.19,499.30,526.24,82267500,74.07
2014-01-02,555.68,560.20,493.55,500.60,109889900,70.04
2013-12-02,558.00,575.14,538.80,561.02,86672400,78.49
2013-11-01,524.02,558.33,512.38,556.07,69291000,77.80
2013-10-01,478.45,539.25,478.28,522.70,88189400,72.71
2013-09-03,493.10,507.92,447.22,476.75,111138700,66.32
2013-08-01,455.75,513.74,453.26,487.22,94666300,67.77
2013-07-01,402.69,457.34,401.22,452.53,77966700,62.53
2013-06-03,450.73,454.43,388.87,396.53,94963100,54.80
2013-05-01,444.46,465.75,418.90,449.73,111725300,62.15
2013-04-01,441.90,445.25,385.10,442.78,132443500,60.78
2013-03-01,438.00,469.95,419.00,442.66,120246400,60.77
2013-02-01,459.11,484.94,437.66,441.40,127191400,60.60
2013-01-02,553.82,555.00,435.00,455.49,160032800,62.17
2012-12-03,593.65,594.59,501.23,532.17,159903000,72.63
2012-11-01,598.22,603.00,505.75,585.28,158585300,79.88
2012-10-01,671.16,676.75,587.70,595.32,150628900,80.88
2012-09-04,665.76,705.07,656.00,667.10,128080400,90.63
2012-08-01,615.91,680.87,600.25,665.24,93636100,90.38
2012-07-02,584.73,619.87,570.00,610.76,111571100,82.63
2012-06-01,569.16,590.00,548.50,584.00,98539600,79.01
2012-05-01,584.90,596.76,522.18,577.73,131795600,78.16
2012-04-02,601.83,644.00,555.00,583.98,201314100,79.00
2012-03-01,548.17,621.45,516.22,599.55,185402000,81.11
2012-02-01,458.41,547.61,453.98,542.44,154007000,73.38
2012-01-03,409.40,458.24,409.00,456.48,90644200,61.75
2011-12-01,382.54,409.09,377.68,405.00,77216600,54.79
2011-11-01,397.41,408.00,363.32,382.20,111543300,51.71
2011-10-03,380.37,426.70,354.24,404.78,161034800,54.76
2011-09-01,385.82,422.86,366.48,381.32,149108200,51.59
2011-08-01,397.78,399.50,353.02,384.83,181143300,52.06
2011-07-01,335.95,404.50,334.20,390.48,141081600,52.83
2011-06-01,348.87,352.13,310.50,335.67,108940900,45.41
2011-05-02,349.74,351.83,329.42,347.83,87259700,47.06
2011-04-01,351.11,355.13,320.16,350.13,128252100,47.37
2011-03-01,355.47,361.67,326.26,348.51,125874700,47.15
2011-02-01,341.30,364.90,337.72,353.21,127618700,47.78
2011-01-03,325.64,348.60,324.84,339.32,140234700,45.90
2010-12-01,315.27,326.66,314.89,322.56,81440200,43.64
2010-11-01,302.22,321.30,297.76,311.15,119166000,42.09
2010-10-01,286.15,319.00,277.77,300.98,150774800,40.72
2010-09-01,247.47,294.73,246.28,283.75,149087000,38.39
2010-08-02,260.44,264.28,235.56,243.10,113748900,32.89
2010-07-01,254.30,265.99,239.60,257.25,191879900,34.80
2010-06-01,259.69,279.01,242.20,251.53,197621600,34.03
2010-05-03,263.84,267.88,199.25,256.88,236228300,34.75
2010-04-01,237.41,272.46,232.75,261.09,153685600,35.32
2010-03-01,205.75,237.48,205.45,235.00,136791600,31.79
2010-02-01,192.37,205.17,190.85,204.62,148467600,27.68
2010-01-04,213.43,215.59,190.25,192.06,215986100,25.98
2009-12-01,202.24,213.95,188.68,210.73,133481400,28.51
2009-11-02,189.80,208.00,185.57,199.91,110995500,27.04
